0.672532678,0.382692188,0.769483984,-0.045625500,0.040665533,0.655066669,0.753095150,-0.090534598,0.044074755,0.175286934,-0.000750069,-0.004991583,0.000946997,-0.219475836,0.040640894,-0.014304674,0.086282633,0.025106926,-0.000507965,0.099216081,0.032406669,0.155772492,0.069516242,0.106260322,0.085959315,0.676092565,0.056508716,-0.120138727,-0.109578550,0.678603709
0.672446489,0.382778943,0.769474804,-0.045828357,0.040945284,0.654912174,0.753202081,-0.091302909,0.043963868,0.175375164,-0.000721391,-0.004970765,0.000949096,-0.220373034,0.041067295,-0.014460868,0.087000288,0.025155980,-0.000488700,0.099053770,0.032230265,0.154710323,0.067554556,0.106080174,0.085780859,0.675648808,0.056256194,-0.119790219,-0.109420173,0.678741932
0.672191381,0.383352578,0.769747257,-0.045833681,0.041400019,0.654679775,0.753378928,-0.092125639,0.042789102,0.175451890,-0.000509644,-0.004916646,0.000952215,-0.221499041,0.040376373,-0.014280688,0.087349556,0.025229055,-0.000470617,0.099518158,0.031597078,0.152606085,0.065590426,0.105720758,0.085701212,0.675057590,0.056549463,-0.119975619,-0.109784149,0.679914713
0.672077239,0.383552372,0.769781291,-0.046091482,0.041893750,0.654354453,0.753618419,-0.093547560,0.042218018,0.175531998,-0.000173827,-0.004835201,0.000962680,-0.223100945,0.039834611,-0.014104810,0.087957904,0.025404638,-0.000482107,0.099838421,0.031648461,0.152221724,0.064213291,0.105675675,0.085480712,0.674599349,0.056323446,-0.119777143,-0.109801307,0.680536926
0.672234058,0.383623928,0.769706130,-0.046159875,0.042525813,0.653757274,0.754097044,-0.094409429,0.041899893,0.175482228,0.000421128,-0.004661814,0.000989607,-0.225037158,0.039488189,-0.014039570,0.088626117,0.025462456,-0.000483525,0.099555925,0.031447385,0.152421907,0.063512594,0.106274940,0.085443310,0.673947096,0.055794686,-0.119528197,-0.109870680,0.681031108
0.672168911,0.383977354,0.769646704,-0.046108887,0.043156333,0.653121769,0.754614770,-0.094994366,0.040704083,0.175644338,0.000894645,-0.004466997,0.001004571,-0.226267919,0.038763411,-0.013828057,0.089718893,0.025503589,-0.000486365,0.098910637,0.031366397,0.151546255,0.063508250,0.107423253,0.085601971,0.673348308,0.055510130,-0.119068019,-0.110136807,0.681651413
0.672347426,0.384215534,0.769726753,-0.046260174,0.043829709,0.652549505,0.755061626,-0.095934838,0.040411014,0.175754815,0.000980700,-0.004430491,0.001027319,-0.228328198,0.038285825,-0.013608169,0.090992011,0.025503874,-0.000506667,0.098601483,0.031346314,0.150365844,0.063717902,0.109072097,0.085830443,0.672870994,0.055323869,-0.119026281,-0.110621832,0.682152271
0.672613800,0.384614736,0.769630015,-0.046264865,0.043919306,0.651950061,0.755573809,-0.095679678,0.039826777,0.175789520,0.001489023,-0.004367763,0.001020070,-0.228970751,0.038439088,-0.013406025,0.091628172,0.025400536,-0.000525006,0.098187424,0.031738322,0.150407746,0.064219274,0.110333972,0.085962661,0.672344625,0.055926915,-0.117898442,-0.110686645,0.682705581
0.672489107,0.384781897,0.769805610,-0.046382383,0.044376422,0.651370883,0.756039262,-0.096479468,0.039890595,0.175930277,0.001659224,-0.004463586,0.001056778,-0.230360314,0.037983201,-0.012999782,0.092320204,0.025275713,-0.000526622,0.098273024,0.032135293,0.150179058,0.064674497,0.111317009,0.086100213,0.672494292,0.056476071,-0.117391609,-0.110887080,0.683378756
0.672583699,0.385173023,0.769540846,-0.046411920,0.044604003,0.650933385,0.756400764,-0.096510544,0.039351605,0.176109299,0.002463843,-0.004289320,0.001060468,-0.231235415,0.038082268,-0.012636802,0.094117120,0.025226958,-0.000530917,0.098132320,0.032565091,0.150297731,0.065540940,0.112187520,0.086298726,0.672871113,0.057218559,-0.116718702,-0.111032896,0.683964491
0.672924280,0.385775447,0.769726694,-0.046686791,0.044977665,0.650631964,0.756621063,-0.096813843,0.039724175,0.176012143,0.002717800,-0.004322655,0.001079640,-0.232538268,0.038427375,-0.012384489,0.094779722,0.025038119,-0.000540811,0.098605335,0.032719735,0.149152949,0.066440456,0.113716342,0.086882241,0.673130214,0.058615223,-0.116152316,-0.111229755,0.684942067
0.673052907,0.385797113,0.769799769,-0.046956077,0.045611255,0.650335193,0.756821632,-0.098608620,0.039394457,0.176220417,0.003083957,-0.004440379,0.001081104,-0.235076383,0.038554236,-0.011996645,0.095766902,0.025003942,-0.000528446,0.099241994,0.032695465,0.149830461,0.066869527,0.115016498,0.087385975,0.673369050,0.059278604,-0.115660429,-0.111175738,0.685193002
